date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:19	6488/6488	---M--	200	added ('OK')	image/png	etag:%2259e8429a-1958%22	http://www.junglesystem.com/theme/junglesystem_2017/img/main-solution-bg.png	C:/My%20Web%20Sites/wejo/www.junglesystem.com/theme/junglesystem_2017/img/main-solution-bg.png	(from http://www.junglesystem.com/theme/junglesystem_2017/css/default.css?ver=161120)
16:17:20	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:18%20GMT	http://aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95B.eot	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95B.29.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:20	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:18%20GMT	http://aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95B.eot?	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95B.2ad41d.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:21	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:19%20GMT	http://aleen.kro.kr/static/font/woff2/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95B.woff2	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/woff2/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95B.2b.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:21	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:19%20GMT	http://aleen.kro.kr/static/font/woff/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95B.woff	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/woff/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95B.2c.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:22	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:20%20GMT	http://aleen.kro.kr/static/font/ttf/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95B.ttf	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/ttf/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95B.2d.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:22	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:20%20GMT	http://aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95EB.eot	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95EB.2e.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:23	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:21%20GMT	http://aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95EB.eot?	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95EB.2fd41d.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:23	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:21%20GMT	http://aleen.kro.kr/static/font/woff2/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95EB.woff2	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/woff2/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95EB.30.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:24	127423/127423	---M--	200	added ('OK')	image/png	etag:%225a03b82b-1f1bf%22	http://www.junglesystem.com/theme/junglesystem_2017/img/solution/mrmygle-1.png	C:/My%20Web%20Sites/wejo/www.junglesystem.com/theme/junglesystem_2017/img/solution/mrmygle-1.png	(from http://www.junglesystem.com/theme/junglesystem_2017/css/default.css?ver=161120)
16:17:24	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:22%20GMT	http://aleen.kro.kr/static/font/woff/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95EB.woff	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/woff/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95EB.31.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:24	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:22%20GMT	http://aleen.kro.kr/static/font/ttf/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95EB.ttf	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/ttf/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95EB.32.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
16:17:25	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Aug%202023%2007:17:23%20GMT	http://aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95L.eot	C:/My%20Web%20Sites/wejo/aleen.kro.kr/static/font/eot/SJ%ec%84%b8%ec%a2%85%ea%b3%a0%eb%94%95L.33.delayed	(from http://aleen.kro.kr/static/css/font_SJSejongGothic.css)
